#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
             2818.38          1.4792e-13                       |         1.06370489e+15      3.91927097e-28                    
             2831.39          1.6649e-13                       |         1.05881726e+15      4.45211974e-28                    
             2837.92          1.6164e-13                       |         1.05638094e+15      4.34238609e-28                    
             2851.02          1.5202e-13                       |         1.05152703e+15      4.12173961e-28                    
             2857.59          1.3555e-13                       |         1.04910942e+15      3.69214418e-28                    
             2870.78          1.6883e-13                       |         1.04428921e+15      4.64118350e-28                    
              2877.4           1.785e-13                       |         1.04188663e+15      4.92967167e-28                    
             2890.68          1.7218e-13                       |         1.03710013e+15      4.79912470e-28                    
             2897.34          1.7831e-13                       |         1.03471618e+15      4.99291210e-28                    
             2917.43          2.0451e-13                       |         1.02759092e+15      5.80623666e-28                    
             2937.65          1.9199e-13                       |         1.02051796e+15      5.52659967e-28                    
             2958.01          1.8699e-13                       |         1.01349373e+15      5.45754032e-28                    
             2971.67          1.9417e-13                       |         1.00883496e+15      5.71955955e-28                    
             2992.27          1.9487e-13                       |         1.00188973e+15      5.82003823e-28                    
             3013.01          1.9921e-13                       |         9.94993243e+14      6.03242008e-28                    
             3033.89          2.0131e-13                       |         9.88145447e+14      6.18079452e-28                    
             3054.92          2.0438e-13                       |         9.81343076e+14      6.36234733e-28                    
              3076.1          2.0893e-13                       |         9.74586194e+14      6.59448674e-28                    
             3097.42          2.1066e-13                       |         9.67877973e+14      6.74157813e-28                    
             3111.72          2.1775e-13                       |         9.63430061e+14      7.03296541e-28                    
             3133.29          2.1259e-13                       |         9.56797676e+14      6.96182838e-28                    
             3155.01          2.1239e-13                       |         9.50210804e+14      7.05204120e-28                    
             3176.87          2.1914e-13                       |         9.43672417e+14      7.37734069e-28                    
             3191.54          2.0188e-13                       |         9.39334801e+14      6.85919541e-28                    
             3213.66          2.1562e-13                       |         9.32869249e+14      7.42793666e-28                    
